           rhox         t           p          xne        xnatom        rho
  165   1.471E-01   4.465E+03   1.234E+02   2.151E+10   2.001E+14   4.277E-10
  166   1.748E-01   4.390E+03   1.416E+03   1.861E+11   2.337E+15   4.995E-09
  167   1.840E-01   4.348E+03   1.424E+03   1.834E+11   2.373E+15   5.072E-09
  168   2.017E-01   4.374E+03   1.364E+03   1.788E+11   2.260E+15   4.830E-09
  169   2.242E-01   4.377E+03   9.488E+02   1.296E+11   1.570E+15   3.356E-09
  170   2.262E-01   4.368E+03   9.148E+02   1.250E+11   1.517E+15   3.242E-09
  171   2.293E-01   4.365E+03   8.973E+02   1.228E+11   1.489E+15   3.183E-09
  172   2.321E-01   4.399E+03   7.849E+02   1.102E+11   1.292E+15   2.762E-09
  173   2.344E-01   4.444E+03   6.374E+02   9.251E+10   1.039E+15   2.221E-09
  174   2.379E-01   4.525E+03   5.413E+02   8.238E+10   8.664E+14   1.852E-09
  175   2.713E-01   4.794E+03   1.086E+03   1.846E+11   1.640E+15   3.506E-09
  176   2.735E-01   4.768E+03   1.226E+03   1.988E+11   1.862E+15   3.980E-09
  177   2.770E-01   4.809E+03   1.133E+03   1.944E+11   1.706E+15   3.646E-09
  178   2.799E-01   4.895E+03   8.779E+02   1.795E+11   1.299E+15   2.777E-09
  179   2.821E-01   4.968E+03   6.960E+02   1.738E+11   1.015E+15   2.169E-09
  180   2.839E-01   5.033E+03   5.325E+02   1.675E+11   7.663E+14   1.638E-09
  181   2.856E-01   5.030E+03   5.585E+02   1.714E+11   8.041E+14   1.719E-09
  182   2.875E-01   5.030E+03   5.898E+02   1.776E+11   8.491E+14   1.815E-09
  183   2.899E-01   5.050E+03   6.284E+02   1.930E+11   9.012E+14   1.926E-09
  184   2.960E-01   5.231E+03   6.946E+02   3.118E+11   9.615E+14   2.055E-09
  185   2.975E-01   5.279E+03   7.052E+02   3.526E+11   9.672E+14   2.067E-09
  186   2.993E-01   5.296E+03   6.294E+02   3.446E+11   8.604E+14   1.839E-09
  187   3.009E-01   5.312E+03   5.327E+02   3.260E+11   7.261E+14   1.552E-09
  188   3.023E-01   5.305E+03   4.894E+02   3.056E+11   6.680E+14   1.428E-09
  189   3.037E-01   5.300E+03   4.498E+02   2.878E+11   6.145E+14   1.314E-09
  190   3.050E-01   5.305E+03   4.514E+02   2.920E+11   6.161E+14   1.317E-09
  191   3.064E-01   5.306E+03   4.562E+02   2.948E+11   6.224E+14   1.330E-09
  192   3.078E-01   5.305E+03   4.684E+02   2.982E+11   6.393E+14   1.366E-09
  193   3.100E-01   5.270E+03   5.452E+02   2.975E+11   7.491E+14   1.601E-09
  194   3.165E-01   5.149E+03   8.069E+02   2.814E+11   1.135E+15   2.426E-09
  195   3.195E-01   5.190E+03   8.558E+02   3.199E+11   1.194E+15   2.553E-09
  196   3.280E-01   5.356E+03   1.550E+03   6.656E+11   2.096E+15   4.480E-09
  197   3.372E-01   5.382E+03   2.364E+03   9.023E+11   3.181E+15   6.799E-09
  198   3.669E-01   5.278E+03   4.771E+03   1.139E+12   6.547E+15   1.399E-08
  199   3.880E-01   5.229E+03   4.458E+03   9.976E+11   6.175E+15   1.320E-08
  200   4.364E-01   5.168E+03   1.960E+03   5.135E+11   2.747E+15   5.872E-09
  201   4.488E-01   4.923E+03   1.369E+03   2.612E+11   2.014E+15   4.305E-09
  202   4.518E-01   4.835E+03   1.285E+03   2.216E+11   1.924E+15   4.112E-09
  203   4.561E-01   4.734E+03   1.314E+03   2.048E+11   2.010E+15   4.296E-09
  204   4.608E-01   4.642E+03   1.378E+03   2.015E+11   2.150E+15   4.595E-09
  205   4.661E-01   4.576E+03   1.524E+03   2.140E+11   2.412E+15   5.155E-09
  206   4.720E-01   4.552E+03   1.714E+03   2.355E+11   2.728E+15   5.830E-09
  207   4.785E-01   4.560E+03   1.944E+03   2.645E+11   3.089E+15   6.601E-09
  208   4.854E-01   4.564E+03   2.040E+03   2.764E+11   3.238E+15   6.920E-09
  209   4.925E-01   4.568E+03   2.097E+03   2.838E+11   3.325E+15   7.107E-09
  210   4.994E-01   4.564E+03   2.026E+03   2.749E+11   3.216E+15   6.873E-09
  211   5.060E-01   4.559E+03   1.940E+03   2.639E+11   3.083E+15   6.590E-09
  212   5.123E-01   4.557E+03   1.825E+03   2.496E+11   2.901E+15   6.200E-09
  213   5.184E-01   4.560E+03   1.748E+03   2.405E+11   2.777E+15   5.935E-09
